3364,8267,Dark Pickle
3371,8405,Burnt Umber
3607,8071,Puce
3608,8070,Light Puce
3609,8069,Crepe Myrtle
3610,8068,Pink Mist
3685,8058,Dark Magenta
3687,8056,Mid Magenta
3688,8055,Light Magenta
3689,8054,Baby Pink
3705,8018,Lipstick
3706,8017,Dark Musk
3708,8016,Musk
3712,8007,Dark Rose
3713,8004,Pale Rose
3716,8036,Mid Pink
3721,8080,Dark Dusky Pink
3722,8079,Dusky Pink
3726,8085,Rose Quartz
3727,8083,Blossom
3731,8051,Fuschia
3733,8050,Light Fuschia
3740,8092,Dark Mushroom
3743,8089,Purple Smoke
3746,8113,Gentian
3747,8108,Blue Grey
3750,8164,Midnight Teal
3752,8160,Light Teal
3753,8159,Baby Blue
3755,8151,Dark Sea Quest
3756,8147,Ice
3760,8169,Kingfisher
3761,8166,Bluestone
3765,8176,Dark Aqua Marine
3766,8174,Mid Aqua Marine
3768,8186,Slate
3770,8353,Light Nacre
3771,8371,Pale Salmon
3772,8386,Mole
3774,8382,Porcelain Pink
3776,8356,Mid Ochre
3777,8377,Light Burgundy
3778,8373,Mid Salmon
3779,8378,Ice Burgundy
3781,8427,Dark Clay
3782,8424,Light Clay
3787,8417,Smoke
3790,8426,Medium Clay
3799,8448,Steel
3801,8019,Flamingo
3802,8087,Garnet
3803,8057,Magenta
3804,8067,Dark Cyclamen
3805,8066,Mid Cyclamen
3806,8065,Light Cyclamen
3807,8118,Dark Sky Blue
3808,8182,Midnight Turquoise
3809,8181,Oriental Turquoise
3810,8180,Dark Turquoise
3811,8177,Pale Turquoise
3812,8194,Dark Reef
3813,8212,Light Agave
3814,8200,Blue Green
3815,8210,Light Juniper
3816,8208,Beryl
3817,8207,Turquoise Breath
3818,8224,Holly Green
3819,8271,Bright Lime
3820,8315,Harvest Gold
3821,8314,Canary
3822,8313,Sahara
3823,8360,Parchment
3824,8337,Light Coral
3825,8347,Pink Marble
3826,8367,Tan
3827,8364,Med Skin Tone
3829,8312,Golden Ginger
3830,8375,Siena
3831,8041,Cerise
3834,8095,Dark Mauve
3835,8094,Mauve
3836,8093,Light Mauve
3837,8101,Purple
3838,8124,Dark Cornflower
3839,8123,Cornflower
3840,8122,Azure
3841,8149,Mid Sea Quest
3842,8171,Sapphire
3843,8139,Aegean Blue
3844,8143,Dark Aqua
3845,8142,Aqua
3846,8141,Light Aqua
3847,8190,Dark Jade
3848,8189,Jade
3849,8188,Light Jade
3851,8195,Waterfall
3852,8316,Sunflower
3853,8363,Dark Skin Tone
3854,8362,Skin Tone
3855,8361,Light Skin Tone
3856,8343,Pink Pearl
3857,8381,Dark Burgundy
3858,8380,Red Mud
3860,8392,Java
3861,8391,Light Java
3862,8409,Donkey
3863,8408,Medium Donkey
3864,8407,Pale Donkey
3865,8412,Alabaster
3866,8428,Snow Drift
5200,8411,Frost
Ecru,8003,Ecru
White,8002,White
